Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Oklahoma City Thunder*,57,25,0.695,—,120.1,112.7,7.36
Denver Nuggets*,57,25,0.695,—,114.9,109.6,5.23
Minnesota Timberwolves*,56,26,0.683,1,113,106.5,6.39
Los Angeles Clippers*,51,31,0.622,6,115.6,112.3,3.41
Dallas Mavericks*,50,32,0.61,7,117.9,115.6,2.3
Phoenix Suns*,49,33,0.598,8,116.2,113.2,3.08
New Orleans Pelicans*,49,33,0.598,8,115.1,110.7,4.46
Los Angeles Lakers*,47,35,0.573,10,118,117.4,1.07
Sacramento Kings,46,36,0.561,11,116.6,114.8,2.29
Golden State Warriors,46,36,0.561,11,117.8,115.2,2.77
Houston Rockets,41,41,0.5,16,114.3,113.2,1.24
Utah Jazz,31,51,0.378,26,115.7,120.5,-4.22
Memphis Grizzlies,27,55,0.329,30,105.8,112.8,-6.57
San Antonio Spurs,22,60,0.268,35,112.1,118.6,-5.8
Portland Trail Blazers,21,61,0.256,36,106.4,115.4,-8.29
